difficulty,winrate,pickPolicy,carryCap,run,period,netWorth
1,1,synergy,off,0,1,-4980.00
1,1,synergy,off,0,2,-4978.98
1,1,synergy,off,0,3,-4971.61
1,1,synergy,off,0,4,-4952.27
1,1,synergy,off,0,5,-4639.73
1,1,synergy,off,0,6,-4629.93
1,1,synergy,off,0,7,-4629.93
1,1,synergy,off,0,8,-4494.93
1,1,synergy,off,0,9,-3962.41
1,1,synergy,off,0,10,-4002.41
1,1,synergy,off,0,11,-2862.41
1,1,synergy,off,0,12,1618.21
1,1,synergy,off,0,13,1913.21
1,1,synergy,off,0,14,1653.21
1,1,synergy,off,0,15,1099.11
1,1,synergy,off,0,16,1859.11
1,1,synergy,off,0,17,1644.11
1,1,synergy,off,0,18,3154.11
1,1,synergy,off,0,19,224.82
1,1,synergy,off,0,20,430.28
1,1,synergy,off,0,21,390.28
1,1,synergy,off,0,22,460.28
1,1,synergy,off,0,23,934.62
1,1,synergy,off,0,24,1822.86
1,1,synergy,off,0,25,2620.09
1,1,synergy,off,0,26,7795.63
1,1,synergy,off,0,27,9247.39
1,1,synergy,off,0,28,13569.73
1,1,synergy,off,0,29,13029.15
1,1,synergy,off,0,30,22588.71
1,1,synergy,off,0,31,23341.47
1,1,synergy,off,0,32,6621.47
1,1,synergy,off,0,33,9356.47
1,1,synergy,off,0,34,19716.06
1,1,synergy,off,0,35,27839.48
1,1,synergy,off,0,36,22655.90
1,1,synergy,off,0,37,20487.23
1,1,synergy,off,0,38,28376.44
1,1,synergy,off,0,39,27826.19
1,1,synergy,off,0,40,19820.18
1,1,synergy,off,1,1,-4980.00
1,1,synergy,off,1,2,-4967.35
1,1,synergy,off,1,3,-4840.30
1,1,synergy,off,1,4,-4937.64
1,1,synergy,off,1,5,-4785.80
1,1,synergy,off,1,6,-4503.02
1,1,synergy,off,1,7,-4443.02
1,1,synergy,off,1,8,-3596.55
1,1,synergy,off,1,9,-3391.55
1,1,synergy,off,1,10,-3167.41
1,1,synergy,off,1,11,-2417.49
1,1,synergy,off,1,12,-2477.49
1,1,synergy,off,1,13,-1992.86
1,1,synergy,off,1,14,-1669.18
1,1,synergy,off,1,15,-1356.00
1,1,synergy,off,1,16,-3299.33
1,1,synergy,off,1,17,-2085.05
1,1,synergy,off,1,18,-494.11
1,1,synergy,off,1,19,2273.17
1,1,synergy,off,1,20,2199.47
1,1,synergy,off,1,21,1542.86
1,1,synergy,off,1,22,2479.55
1,1,synergy,off,1,23,2398.07
1,1,synergy,off,1,24,2821.94
1,1,synergy,off,1,25,2851.94
1,1,synergy,off,1,26,4659.44
1,1,synergy,off,1,27,6414.99
1,1,synergy,off,1,28,13429.95
1,1,synergy,off,1,29,12270.36
1,1,synergy,off,1,30,20127.83
1,1,synergy,off,1,31,20337.46
1,1,synergy,off,1,32,12084.33
1,1,synergy,off,1,33,14225.83
1,1,synergy,off,1,34,16136.83
1,1,synergy,off,1,35,16016.83
1,1,synergy,off,1,36,20690.21
1,1,synergy,off,1,37,23385.08
1,1,synergy,off,1,38,27687.64
1,1,synergy,off,1,39,43359.20
1,1,synergy,off,1,40,18451.07
1,1,synergy,off,2,1,-4980.00
1,1,synergy,off,2,2,-4941.46
1,1,synergy,off,2,3,-4893.34
1,1,synergy,off,2,4,-4569.04
1,1,synergy,off,2,5,-3867.42
1,1,synergy,off,2,6,-3622.42
1,1,synergy,off,2,7,-2740.85
1,1,synergy,off,2,8,-1920.85
1,1,synergy,off,2,9,-1370.85
1,1,synergy,off,2,10,-730.85
1,1,synergy,off,2,11,-645.85
1,1,synergy,off,2,12,-563.24
1,1,synergy,off,2,13,-228.24
1,1,synergy,off,2,14,-553.24
1,1,synergy,off,2,15,-227.24
1,1,synergy,off,2,16,3447.80
1,1,synergy,off,2,17,11371.40
1,1,synergy,off,2,18,8802.10
1,1,synergy,off,2,19,8757.10
1,1,synergy,off,2,20,8387.10
1,1,synergy,off,2,21,8432.10
1,1,synergy,off,2,22,8802.10
1,1,synergy,off,2,23,16483.80
1,1,synergy,off,2,24,4393.80
1,1,synergy,off,2,25,4333.80
1,1,synergy,off,2,26,4848.80
1,1,synergy,off,2,27,5572.80
1,1,synergy,off,2,28,7416.52
1,1,synergy,off,2,29,10905.40
1,1,synergy,off,2,30,15590.80
1,1,synergy,off,2,31,16320.80
1,1,synergy,off,2,32,16444.04
1,1,synergy,off,2,33,17192.36
1,1,synergy,off,2,34,34628.20
1,1,synergy,off,2,35,34993.20
1,1,synergy,off,2,36,20653.20
1,1,synergy,off,2,37,20983.20
1,1,synergy,off,2,38,31375.32
1,1,synergy,off,2,39,42204.17
1,1,synergy,off,2,40,51629.29
1,1,synergy,off,3,1,-4980.00
1,1,synergy,off,3,2,-4966.45
1,1,synergy,off,3,3,-4510.41
1,1,synergy,off,3,4,-4194.13
1,1,synergy,off,3,5,-4204.13
1,1,synergy,off,3,6,-2970.13
1,1,synergy,off,3,7,-1260.13
1,1,synergy,off,3,8,-1175.13
1,1,synergy,off,3,9,-165.13
1,1,synergy,off,3,10,1089.87
1,1,synergy,off,3,11,1229.87
1,1,synergy,off,3,12,3379.87
1,1,synergy,off,3,13,9614.01
1,1,synergy,off,3,14,13184.19
1,1,synergy,off,3,15,13458.60
1,1,synergy,off,3,16,4607.44
1,1,synergy,off,3,17,4849.19
1,1,synergy,off,3,18,5432.52
1,1,synergy,off,3,19,6559.51
1,1,synergy,off,3,20,7795.76
1,1,synergy,off,3,21,7785.76
1,1,synergy,off,3,22,7805.76
1,1,synergy,off,3,23,8232.76
1,1,synergy,off,3,24,7129.85
1,1,synergy,off,3,25,8312.85
1,1,synergy,off,3,26,13646.32
1,1,synergy,off,3,27,17724.82
1,1,synergy,off,3,28,14651.96
1,1,synergy,off,3,29,14701.96
1,1,synergy,off,3,30,22431.71
1,1,synergy,off,3,31,22517.96
1,1,synergy,off,3,32,12814.11
1,1,synergy,off,3,33,13014.09
1,1,synergy,off,3,34,13554.59
1,1,synergy,off,3,35,13299.59
1,1,synergy,off,3,36,13746.51
1,1,synergy,off,3,37,16626.04
1,1,synergy,off,3,38,18260.86
1,1,synergy,off,3,39,18240.86
1,1,synergy,off,3,40,18095.86
1,1,synergy,off,4,1,-4980.00
1,1,synergy,off,4,2,-4965.66
1,1,synergy,off,4,3,-4934.38
1,1,synergy,off,4,4,-4863.58
1,1,synergy,off,4,5,-4763.25
1,1,synergy,off,4,6,-4326.19
1,1,synergy,off,4,7,-4436.80
1,1,synergy,off,4,8,-3347.66
1,1,synergy,off,4,9,-2686.37
1,1,synergy,off,4,10,-1575.78
1,1,synergy,off,4,11,5341.77
1,1,synergy,off,4,12,5884.27
1,1,synergy,off,4,13,5099.27
1,1,synergy,off,4,14,5319.27
1,1,synergy,off,4,15,5914.27
1,1,synergy,off,4,16,4696.77
